Date,Value
9/1/2006,509.8
10/1/2006,365.6774194
11/1/2006,623.6666667
12/1/2006,604.4516129
1/1/2007,607.4193548
2/1/2007,523.3571429
3/1/2007,479.6451613
4/1/2007,1408.233333
5/1/2007,1209.354839
6/1/2007,693.1333333
7/1/2007,545.0645161
8/1/2007,526
9/1/2007,445.4333333
10/1/2007,356.1290323
11/1/2007,369.1
12/1/2007,606.1612903
1/1/2008,631.9032258
2/1/2008,456.5172414
3/1/2008,356.3225806
4/1/2008,277.3
5/1/2008,240.6774194
6/1/2008,180.5666667
7/1/2008,164.516129
8/1/2008,140.9483871
9/1/2008,120.4166667
10/1/2008,112.6806452
11/1/2008,126.3
12/1/2008,174.0322581
1/1/2009,121.0322581
2/1/2009,124.4071429
3/1/2009,114.7516129
4/1/2009,151.6666667
5/1/2009,133.3548387
6/1/2009,119.5
7/1/2009,194.8387097
8/1/2009,151.3225806
9/1/2009,155.3333333
10/1/2009,175.5806452
11/1/2009,193.1666667
12/1/2009,269.7096774
1/1/2010,199.8064516
2/1/2010,273.9642857
3/1/2010,353.5806452
4/1/2010,330.2
5/1/2010,475.7741935
6/1/2010,303.9
7/1/2010,301.3870968
8/1/2010,226.2903226
9/1/2010,197.2
10/1/2010,180.3548387
11/1/2010,186.1
12/1/2010,172.0322581
1/1/2011,313.7741935
2/1/2011,271.25
3/1/2011,241.5806452
4/1/2011,246.1666667
5/1/2011,248.1935484
6/1/2011,228.5333333
7/1/2011,248.6774194
8/1/2011,218.2903226
9/1/2011,213.3333333
10/1/2011,260.0645161
11/1/2011,334.7333333
12/1/2011,232.7741935
1/1/2012,246.0322581
2/1/2012,263.7241379
3/1/2012,219.1935484
4/1/2012,238.9666667
5/1/2012,247.3225806
6/1/2012,203.2
7/1/2012,219.1935484
8/1/2012,234.3225806
9/1/2012,197.8666667
10/1/2012,221.3225806
11/1/2012,289.6
12/1/2012,426.2258065
1/1/2013,281.0645161
2/1/2013,325.3571429
3/1/2013,257.1935484
4/1/2013,300.0333333
5/1/2013,272.6451613
6/1/2013,208.5
7/1/2013,319.9677419
8/1/2013,324.3870968
9/1/2013,244.5333333
10/1/2013,249.7741935
11/1/2013,265.5
12/1/2013,290
1/1/2014,372.2258065
2/1/2014,257.5357143
3/1/2014,358.6129032
4/1/2014,432.0333333
5/1/2014,346.7096774
6/1/2014,230.1333333
7/1/2014,276.0322581
8/1/2014,286.7419355
9/1/2014,263.2
10/1/2014,357.3225806
11/1/2014,362.9666667
12/1/2014,322.2258065
1/1/2015,260.8064516
2/1/2015,290.0714286
3/1/2015,323.1612903
4/1/2015,274.4666667
5/1/2015,231.483871
6/1/2015,236.9
7/1/2015,290.5483871
8/1/2015,274.0967742
9/1/2015,301.4
10/1/2015,340.1612903
11/1/2015,373.1333333
12/1/2015,380.7741935
1/1/2016,471.6451613
2/1/2016,299.3103448
3/1/2016,358.1612903
4/1/2016,690.2
5/1/2016,473.4516129
6/1/2016,300.2
7/1/2016,339.9032258
8/1/2016,345.0645161
